"gender_minority","survey_month","item_label","wtd_mean","n","se","ci_lo","ci_hi"
"Cisgender",2025-06-01,"Respond to posts
you disagree with",2.1601963973913,1456,0.035693986651527,2.0902361835543,2.23015661122829
"Cisgender",2025-07-01,"Express opinions
at work/school",2.5276007249363,1463,0.0369534016942162,2.45517205761564,2.60002939225696
"Cisgender",2025-07-01,"Express political
opinions online",2.21686312034852,1466,0.0372796964397795,2.14379491532655,2.28993132537049
"Cisgender",2025-07-01,"Respond to posts
you disagree with",2.10509294979327,1468,0.0351092159939883,2.03627888644505,2.17390701314148
"Cisgender",2025-08-01,"Express opinions
at work/school",2.53093928417422,1411,0.0373810252328057,2.45767247471792,2.60420609363052
"Cisgender",2025-08-01,"Express political
opinions online",2.23232591266075,1411,0.0373995632951159,2.15902276860232,2.30562905671917
"Cisgender",2025-08-01,"Respond to posts
you disagree with",2.12402733393084,1412,0.0360155113127979,2.05343693175776,2.19461773610393
"Cisgender",2025-09-01,"Express opinions
at work/school",2.44396011894346,1464,0.0371317884415293,2.37118181359807,2.51673842428886
"Cisgender",2025-09-01,"Express political
opinions online",2.18830963276285,1464,0.0380695072967098,2.1136933984613,2.2629258670644
"Cisgender",2025-09-01,"Respond to posts
you disagree with",2.10540938298933,1465,0.0367790568829133,2.03332243149882,2.17749633447984
"Cisgender",2025-10-01,"Express opinions
at work/school",2.41852875769669,1437,0.0380161535672814,2.34401709670482,2.49304041868856
"Cisgender",2025-10-01,"Express political
opinions online",2.11624125579911,1436,0.0365375158847551,2.04462772466499,2.18785478693323
"Cisgender",2025-10-01,"Respond to posts
you disagree with",2.01813963219667,1437,0.0346414736785077,1.95024234378679,2.08603692060654
"Cisgender",2025-11-01,"Express opinions
at work/school",2.40324945833175,1738,0.0362856633975452,2.33212955807256,2.47436935859094
"Cisgender",2025-11-01,"Express political
opinions online",2.14432361079439,1744,0.0351078367027245,2.07551225085705,2.21313497073173
"Cisgender",2025-11-01,"Respond to posts
you disagree with",2.07016445080054,1743,0.0347270291774423,2.00209947361275,2.13822942798833
"Cisgender",2026-01-01,"Express opinions
at work/school",2.39333868278163,1485,0.03753740110534,2.31976537661517,2.4669119889481
"Cisgender",2026-01-01,"Express political
opinions online",2.09091510638443,1485,0.0356084298961932,2.02112258378789,2.16070762898097
"Cisgender",2026-01-01,"Respond to posts
you disagree with",2.0195961532252,1485,0.0347451724830796,1.95149561515836,2.08769669129203
"Cisgender",2026-02-01,"Express opinions
at work/school",2.47216673738887,1453,0.0375246264107794,2.39861846962375,2.545715005154
"Cisgender",2026-02-01,"Express political
opinions online",2.13694241247343,1453,0.0371244361509785,2.06417851761751,2.20970630732934
"Cisgender",2026-02-01,"Respond to posts
you disagree with",2.03558478082448,1453,0.0362093460320411,1.96461446260168,2.10655509904728
"Cisgender",NA,"Express opinions
at work/school",2.54797947804871,6900,0.0162835501634912,2.51606371972827,2.57989523636915
"Cisgender",NA,"Express political
opinions online",2.19788272415925,6901,0.0162970470347764,2.16594051197109,2.22982493634741
"Cisgender",NA,"Respond to posts
you disagree with",2.10335889419332,6901,0.0155535497567511,2.07287393667009,2.13384385171655
"Trans / Non-binary",2024-07-01,"Express opinions
at work/school",2.84892064156022,24,0.220355952717797,2.41702297423333,3.2808183088871
"Trans / Non-binary",2024-07-01,"Express political
opinions online",2.54468227742285,24,0.258033126254876,2.03893734996329,3.05042720488241
"Trans / Non-binary",2024-07-01,"Respond to posts
you disagree with",2.09683528628218,24,0.242914865856226,1.62072214920398,2.57294842336038
"Trans / Non-binary",2024-08-01,"Express opinions
at work/school",2.66407903812651,22,0.34253379704952,1.99271279590945,3.33544528034357
"Trans / Non-binary",2024-08-01,"Express political
opinions online",2.64489942000207,22,0.429010519532209,1.80403880171894,3.4857600382852
"Trans / Non-binary",2024-08-01,"Respond to posts
you disagree with",2.53718598457829,22,0.383394050604888,1.78573364539271,3.28863832376387
"Trans / Non-binary",2024-09-01,"Express opinions
at work/school",2.70921349191109,19,0.301407383881882,2.1184550195026,3.29997196431958
"Trans / Non-binary",2024-09-01,"Express political
opinions online",2.66674965997403,19,0.338019103293235,2.00423221751929,3.32926710242877
"Trans / Non-binary",2024-09-01,"Respond to posts
you disagree with",2.71832401051266,19,0.358824377820403,2.01502822998467,3.42161979104065
"Trans / Non-binary",2024-10-01,"Express opinions
at work/school",3.01628838529586,36,0.211466822890964,2.60181341242957,3.43076335816215
"Trans / Non-binary",2024-10-01,"Express political
opinions online",2.95327900337439,36,0.213254119648755,2.53530092886283,3.37125707788595
"Trans / Non-binary",2024-10-01,"Respond to posts
you disagree with",2.8171647728518,36,0.21558888505256,2.39461055814879,3.23971898755482
"Trans / Non-binary",2024-11-01,"Express opinions
at work/school",2.96587482452276,20,0.250364101624662,2.47516118533842,3.45658846370709
"Trans / Non-binary",2024-11-01,"Express political
opinions online",2.58122018680177,20,0.272229957818339,2.04764946947783,3.11479090412572
"Trans / Non-binary",2024-11-01,"Respond to posts
you disagree with",2.31263933986235,20,0.255555417551985,1.81175072146046,2.81352795826424
"Trans / Non-binary",2024-12-01,"Express opinions
at work/school",2.90489007770384,28,0.256923018626108,2.40132096119667,3.40845919421101
"Trans / Non-binary",2024-12-01,"Express political
opinions online",2.95375994327649,28,0.231697252436955,2.49963332850006,3.40788655805292
"Trans / Non-binary",2024-12-01,"Respond to posts
you disagree with",2.65502122929364,28,0.209711449795287,2.24398678769487,3.0660556708924
"Trans / Non-binary",2025-01-01,"Express opinions
at work/school",2.68833554997503,23,0.36816186581114,1.96673829298519,3.40993280696486
"Trans / Non-binary",2025-01-01,"Express political
opinions online",2.69825446526959,23,0.351085430704123,2.01012702108951,3.38638190944967
"Trans / Non-binary",2025-01-01,"Respond to posts
you disagree with",2.95282762924629,23,0.328669539465295,2.30863533189431,3.59701992659827
"Trans / Non-binary",2025-02-01,"Express opinions
at work/school",2.60171306527275,17,0.264295974130621,2.08369295597673,3.11973317456876
"Trans / Non-binary",2025-02-01,"Express political
opinions online",2.33720045432938,17,0.27766177647302,1.79298337244226,2.8814175362165
"Trans / Non-binary",2025-02-01,"Respond to posts
you disagree with",1.9756960697784,17,0.273313763146562,1.44000109401114,2.51139104554566
"Trans / Non-binary",2025-06-01,"Express opinions
at work/school",2.59126073969928,23,0.363896132384169,1.87802432022631,3.30449715917225
"Trans / Non-binary",2025-06-01,"Express political
opinions online",2.71615786720548,23,0.318387037236071,2.09211927422278,3.34019646018818
"Trans / Non-binary",2025-06-01,"Respond to posts
you disagree with",2.25775826649434,23,0.274996704523596,1.7187647256281,2.79675180736059
"Trans / Non-binary",2025-07-01,"Express opinions
at work/school",2.65815995639646,17,0.387533319664749,1.89859464985355,3.41772526293937
"Trans / Non-binary",2025-07-01,"Express political
opinions online",2.79936763732517,17,0.445770101108397,1.92565823915272,3.67307703549763
"Trans / Non-binary",2025-07-01,"Respond to posts
you disagree with",2.63487357634843,17,0.446703293407071,1.75933512127057,3.51041203142629
"Trans / Non-binary",2025-08-01,"Express opinions
at work/school",3.3148891362444,18,0.299174395651709,2.72850732076705,3.90127095172175
"Trans / Non-binary",2025-08-01,"Express political
opinions online",3.04005862607178,18,0.2927960164024,2.46617843392308,3.61393881822049
"Trans / Non-binary",2025-08-01,"Respond to posts
you disagree with",2.95693788907849,18,0.333376971886946,2.30351902418007,3.6103567539769
"Trans / Non-binary",2025-09-01,"Express opinions
at work/school",2.4348493562795,28,0.308167603966535,1.83084085250509,3.03885786005391
"Trans / Non-binary",2025-09-01,"Express political
opinions online",2.38011991724318,28,0.313199469343544,1.76624895732984,2.99399087715653
"Trans / Non-binary",2025-09-01,"Respond to posts
you disagree with",2.61893014265742,28,0.339666714050171,1.95318338311909,3.28467690219576
"Trans / Non-binary",2025-10-01,"Express opinions
at work/school",3.05984358140352,22,0.369787398656814,2.33506028003616,3.78462688277087
"Trans / Non-binary",2025-10-01,"Express political
opinions online",2.93832854343229,22,0.454247778030747,2.04800289849203,3.82865418837256
"Trans / Non-binary",2025-10-01,"Respond to posts
you disagree with",3.06683163453197,22,0.435398398918702,2.21345077265131,3.92021249641262
"Trans / Non-binary",2025-11-01,"Express opinions
at work/school",3.09886256373236,26,0.295063873601774,2.52053737147288,3.67718775599183
"Trans / Non-binary",2025-11-01,"Express political
opinions online",3.02335069882387,26,0.287524954747189,2.45980178751938,3.58689961012836
"Trans / Non-binary",2025-11-01,"Respond to posts
you disagree with",2.7382766543839,26,0.289326040506863,2.17119761499045,3.30535569377736
"Trans / Non-binary",2026-01-01,"Express opinions
at work/school",2.79828780541332,30,0.281579366267959,2.24639224752812,3.35018336329852
"Trans / Non-binary",2026-01-01,"Express political
opinions online",2.67092091723538,30,0.222659576067734,2.23450814814262,3.10733368632814
"Trans / Non-binary",2026-01-01,"Respond to posts
you disagree with",2.70212738583032,30,0.243206108211712,2.22544341373536,3.17881135792528
"Trans / Non-binary",2026-02-01,"Express opinions
at work/school",2.69075205896732,28,0.241190417231922,2.21801884119275,3.16348527674189
"Trans / Non-binary",2026-02-01,"Express political
opinions online",2.5439393024161,28,0.239966431139948,2.07360509738181,3.0142735074504
"Trans / Non-binary",2026-02-01,"Respond to posts
you disagree with",2.29333929797559,28,0.218565075968222,1.86495174907787,2.7217268468733
"Trans / Non-binary",NA,"Express opinions
at work/school",2.92614145291476,97,0.129180042464774,2.6729485696838,3.17933433614572
"Trans / Non-binary",NA,"Express political
opinions online",2.96977370806772,97,0.144288597596967,2.68696805677767,3.25257935935778
"Trans / Non-binary",NA,"Respond to posts
you disagree with",2.60309030928811,97,0.136296335641196,2.33594949143136,2.87023112714485
