id,date,platform,seed_SeedName,seed_MainType,text,h_elimination_language,h_dehumanization,h_harm_celebration,h_benevolent_justification,h_threat_construction,h_identity_erasure,h_atrocity_denial,h_economic_coercion,h_collective_attribution,h_hierarchical_positioning,h_vilification,h_conspiratorial_attribution,h_humiliation,h_other_hostility
did:plc:atnhbdgtbhmog4xfo3cvolez__bafyreiczr4kimtxbjbqwekexny2mui3ddok4gc4rz5fha6raweedunvhly,2026-02-11T22:09:44Z,bluesky,windward antifascist,influencer,"Billboard Chris & other anti-2SLGBT+ & anti-SOGI influencers will rally in Abbotsford later today in response to the tragedy in Tumbler Ridge. They claim all trans people are future terr*rists & want gender diversity removed from BC schools.

This is sickening. 
 
cc @abbyschools.bsky.social",2,0,0,0,2,0,0,0,3,0,0,0,0,0
did:plc:fv2nxxac24oxk5fqztfazyuc__bafyreidrvucnnitgzrklis7enry25sc64liihgr4kv3pnoqwmcclw5huay,2026-02-12T17:04:38Z,bluesky,The Serfs,influencer,Russian state media is now playing old LGBTQ+ acceptance PSA's from Canada trying to imply that they somehow are associated with a mass shooting that took place,0,0,0,0,0,0,0,0,2,0,0,1,0,0
did:plc:p4p76uhvfxjto3pi7kjbhp5r__bafyreig37yjr4lceaz3y5w55xevrgzqarjj4eqvnmrv4lcakls55j7uwvm,2026-02-13T00:40:15Z,bluesky,Jeff's Fact Checker,influencer,"Just like Trump, PP against transgender women in female spaces, sports

vt.tiktok.com/ZSm21Vp1q/",1,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:tm7uvmb263f5xymsvximzn4g__bafyreia6dz4ovyeh7hiy64e7vexemrihiho6t4sekncldocbvnxwo5u6g4,2026-02-18T15:46:50Z,bluesky,Jen St. Denis,influencer,"Juno News really has been outdoing itself these past couple weeks. 

From the same “news” outlet that’s been relentlessly pushing the idea that trans people are violent.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:4llrhdclvdlmmynkwsmg5tdc__bafyreicjhoetenz6tv6gzry2zjurfgrkyson37u4hsre5sw5ztd6sa2r2e,2026-02-18T16:18:57Z,bluesky,Aaron Rupar,influencer,"Kash Patel: ""We looked at the facts and the evidence. We saw a stream of violence related to transgender ideology that led to unfortunate deaths and assassinations, and we took action.""",0,0,0,0,2,0,0,0,1,0,0,0,0,0
did:plc:atnhbdgtbhmog4xfo3cvolez__bafyreidhyo7zhoo3n5cddgteqkbghp3jlh2qph2rkwiptmgsltu7ti5qva,2026-02-19T21:27:07Z,bluesky,windward antifascist,influencer,"So disgusting. OneBC candidate & Freedom Convoy organizer James Davison is planning a vigil at Abbotsford City Hall on Saturday, Feb 21, ostensibly for lives lost in Tumbler Ridge.

This is an anti-trans gathering. They're pretty stoked kids died & they can blame a trans woman.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:4llrhdclvdlmmynkwsmg5tdc__bafyreigsfizcis63zsro362uimjjejtwm3cb5btqrptqpkudm2rl7ibam4,2026-02-19T21:42:14Z,bluesky,Aaron Rupar,influencer,"Trump: ""TARIFFS! Can you believe it? And I gotta be before a court. This is like men playing in women's sports. Transgender for everybody. I have a new one to add -- voter ID.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:ckhgxna3isqjqtvegqu3wkoi__bafyreiaaqtshqkenqpsq2xvtnrlkapmqwfpfl34do2734vsepswa6nwmsm,2026-02-23T01:02:10Z,bluesky,Celeste Trianon,influencer,"You know who else revoked identification documents, and towards who?

The Nazis.

Trans people in the USA are right in 1938 Nazi Germany.

encyclopedia.ushmm.org/content/en/t...",0,0,0,0,2,0,0,0,0,0,1,0,0,0
did:plc:fv2nxxac24oxk5fqztfazyuc__bafyreidle2wfnrujfhenwa7e46impafab64amuskuby76fp5qrgdmnt7v4,2026-02-23T03:56:35Z,bluesky,The Serfs,influencer,"Counter offer: we abolish the divine right of nonces and give all their wealth and property to the Indigenous people they colonized and house all the poor in Britain in their castles and resorts.

Unrelated but JK Rowling must also give her wealth to trans kids for good measure",0,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:atnhbdgtbhmog4xfo3cvolez__bafyreibbhp5if577v7xp7q53mczl6dl6tj7fyvv5a4u3figldyllpvzll4,2026-02-23T23:11:05Z,bluesky,windward antifascist,influencer,"Barry Neufeld was & still is part of this movement. Despite serving multiple terms as trustee on the Abbotsford Board of Education, he rallied with the BC far-right. He accused 2SLGBTQIA+ teachers in the school district he served in of crimes that harm children.

(📸 Facebook)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:ckhgxna3isqjqtvegqu3wkoi__bafyreie4uboql45nvzzdzic37vbw3qmbly3mr257djtc4xggulpltjrvsa,2026-02-26T17:34:33Z,bluesky,Celeste Trianon,influencer,"In B.C., a bill is on the order table today to outright *abolish* the B.C. Human Rights Tribunal.

The alleged crime? Daring to uphold that trans people have rights.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
